Company,
LICENCE,
Date,2018/09/12
Time,14:09:26
FileName,
Created_by,Version 4.4.0
Instrument_type,LT_EDGE_JR
Model_number,M5
Instrument_state,Stopped
Serial_number,2091499
Battery_level,67
Channel,2
Firmware,3.004
Project_ID,S2
Location,42
Latitude,0.000
Longtitude,0.000
Sample_rate,180000
Sample_mode,0
Event_ch,0
Event_threshold,0.000000
Schedule,
Start_time,2018/08/07 11:00:00
Stop_time,2018/08/06 22:55:54
Num_log,1735
Identification,LEVEL
Unit,m
Parameters,"OrderedDict([('Offset', OrderedDict([('@Val', '0.000'), ('@Unit', 'm')]))])"
Identification,TEMPERATURE
Unit,°C
Parameters,
LogID,Date,Time,ms,LEVEL,TEMPERATURE
1,2018/08/07,11:00:00,0,10.548,8.20
2,2018/08/07,11:30:00,0,10.547,8.00
3,2018/08/07,12:00:00,0,10.544,7.90
4,2018/08/07,12:30:00,0,10.539,7.80
5,2018/08/07,13:00:00,0,10.536,7.80
6,2018/08/07,13:30:00,0,10.532,7.70
7,2018/08/07,14:00:00,0,10.529,7.70
8,2018/08/07,14:30:00,0,10.527,7.70
9,2018/08/07,15:00:00,0,10.523,7.70
10,2018/08/07,15:30:00,0,10.518,7.60
11,2018/08/07,16:00:00,0,10.515,7.60
12,2018/08/07,16:30:00,0,10.514,7.60
13,2018/08/07,17:00:00,0,10.509,7.60
14,2018/08/07,17:30:00,0,10.508,7.60
15,2018/08/07,18:00:00,0,10.506,7.60
16,2018/08/07,18:30:00,0,10.508,7.60
17,2018/08/07,19:00:00,0,10.508,7.60
18,2018/08/07,19:30:00,0,10.506,7.60
19,2018/08/07,20:00:00,0,10.508,7.60
20,2018/08/07,20:30:00,0,10.505,7.50
21,2018/08/07,21:00:00,0,10.506,7.50
22,2018/08/07,21:30:00,0,10.506,7.50
23,2018/08/07,22:00:00,0,10.506,7.50
24,2018/08/07,22:30:00,0,10.506,7.50
25,2018/08/07,23:00:00,0,10.505,7.50
26,2018/08/07,23:30:00,0,10.505,7.50
27,2018/08/08,00:00:00,0,10.503,7.50
28,2018/08/08,00:30:00,0,10.503,7.50
29,2018/08/08,01:00:00,0,10.502,7.50
30,2018/08/08,01:30:00,0,10.499,7.50
31,2018/08/08,02:00:00,0,10.499,7.50
32,2018/08/08,02:30:00,0,10.499,7.50
33,2018/08/08,03:00:00,0,10.496,7.50
34,2018/08/08,03:30:00,0,10.494,7.50
35,2018/08/08,04:00:00,0,10.491,7.50
36,2018/08/08,04:30:00,0,10.488,7.50
37,2018/08/08,05:00:00,0,10.488,7.50
38,2018/08/08,05:30:00,0,10.487,7.50
39,2018/08/08,06:00:00,0,10.485,7.50
40,2018/08/08,06:30:00,0,10.487,7.50
41,2018/08/08,07:00:00,0,10.484,7.50
42,2018/08/08,07:30:00,0,10.485,7.50
43,2018/08/08,08:00:00,0,10.484,7.50
44,2018/08/08,08:30:00,0,10.482,7.50
45,2018/08/08,09:00:00,0,10.478,7.50
46,2018/08/08,09:30:00,0,10.479,7.50
47,2018/08/08,10:00:00,0,10.476,7.50
48,2018/08/08,10:30:00,0,10.476,7.50
49,2018/08/08,11:00:00,0,10.475,7.50
50,2018/08/08,11:30:00,0,10.476,7.50
51,2018/08/08,12:00:00,0,10.476,7.50
52,2018/08/08,12:30:00,0,10.473,7.50
53,2018/08/08,13:00:00,0,10.472,7.50
54,2018/08/08,13:30:00,0,10.470,7.50
55,2018/08/08,14:00:00,0,10.469,7.50
56,2018/08/08,14:30:00,0,10.467,7.50
57,2018/08/08,15:00:00,0,10.467,7.50
58,2018/08/08,15:30:00,0,10.467,7.50
59,2018/08/08,16:00:00,0,10.464,7.50
60,2018/08/08,16:30:00,0,10.466,7.50
61,2018/08/08,17:00:00,0,10.464,7.50
62,2018/08/08,17:30:00,0,10.466,7.50
63,2018/08/08,18:00:00,0,10.464,7.50
64,2018/08/08,18:30:00,0,10.464,7.50
65,2018/08/08,19:00:00,0,10.463,7.50
66,2018/08/08,19:30:00,0,10.463,7.50
67,2018/08/08,20:00:00,0,10.466,7.50
68,2018/08/08,20:30:00,0,10.467,7.50
69,2018/08/08,21:00:00,0,10.472,7.50
70,2018/08/08,21:30:00,0,10.476,7.50
71,2018/08/08,22:00:00,0,10.481,7.50
72,2018/08/08,22:30:00,0,10.482,7.50
73,2018/08/08,23:00:00,0,10.484,7.50
74,2018/08/08,23:30:00,0,10.485,7.50
75,2018/08/09,00:00:00,0,10.485,7.50
76,2018/08/09,00:30:00,0,10.487,7.50
77,2018/08/09,01:00:00,0,10.490,7.50
78,2018/08/09,01:30:00,0,10.490,7.50
79,2018/08/09,02:00:00,0,10.491,7.50
80,2018/08/09,02:30:00,0,10.491,7.50
81,2018/08/09,03:00:00,0,10.494,7.50
82,2018/08/09,03:30:00,0,10.494,7.50
83,2018/08/09,04:00:00,0,10.497,7.50
84,2018/08/09,04:30:00,0,10.499,7.50
85,2018/08/09,05:00:00,0,10.500,7.50
86,2018/08/09,05:30:00,0,10.502,7.60
87,2018/08/09,06:00:00,0,10.505,7.60
88,2018/08/09,06:30:00,0,10.505,7.60
89,2018/08/09,07:00:00,0,10.508,7.60
90,2018/08/09,07:30:00,0,10.512,7.60
91,2018/08/09,08:00:00,0,10.514,7.60
92,2018/08/09,08:30:00,0,10.515,7.60
93,2018/08/09,09:00:00,0,10.518,7.60
94,2018/08/09,09:30:00,0,10.520,7.60
95,2018/08/09,10:00:00,0,10.520,7.60
96,2018/08/09,10:30:00,0,10.523,7.60
97,2018/08/09,11:00:00,0,10.523,7.60
98,2018/08/09,11:30:00,0,10.523,7.60
99,2018/08/09,12:00:00,0,10.523,7.60
100,2018/08/09,12:30:00,0,10.521,7.60
101,2018/08/09,13:00:00,0,10.520,7.60
102,2018/08/09,13:30:00,0,10.517,7.60
103,2018/08/09,14:00:00,0,10.517,7.60
104,2018/08/09,14:30:00,0,10.514,7.60
105,2018/08/09,15:00:00,0,10.511,7.60
106,2018/08/09,15:30:00,0,10.511,7.60
107,2018/08/09,16:00:00,0,10.509,7.60
108,2018/08/09,16:30:00,0,10.508,7.60
109,2018/08/09,17:00:00,0,10.506,7.60
110,2018/08/09,17:30:00,0,10.506,7.60
111,2018/08/09,18:00:00,0,10.506,7.60
112,2018/08/09,18:30:00,0,10.506,7.60
113,2018/08/09,19:00:00,0,10.508,7.60
114,2018/08/09,19:30:00,0,10.509,7.60
115,2018/08/09,20:00:00,0,10.511,7.60
116,2018/08/09,20:30:00,0,10.512,7.60
117,2018/08/09,21:00:00,0,10.514,7.60
118,2018/08/09,21:30:00,0,10.517,7.60
119,2018/08/09,22:00:00,0,10.520,7.60
120,2018/08/09,22:30:00,0,10.523,7.60
121,2018/08/09,23:00:00,0,10.523,7.60
122,2018/08/09,23:30:00,0,10.523,7.60
123,2018/08/10,00:00:00,0,10.523,7.60
124,2018/08/10,00:30:00,0,10.523,7.60
125,2018/08/10,01:00:00,0,10.526,7.60
126,2018/08/10,01:30:00,0,10.524,7.60
127,2018/08/10,02:00:00,0,10.524,7.60
128,2018/08/10,02:30:00,0,10.523,7.60
129,2018/08/10,03:00:00,0,10.521,7.60
130,2018/08/10,03:30:00,0,10.523,7.60
131,2018/08/10,04:00:00,0,10.524,7.60
132,2018/08/10,04:30:00,0,10.527,7.60
133,2018/08/10,05:00:00,0,10.527,7.60
134,2018/08/10,05:30:00,0,10.527,7.60
135,2018/08/10,06:00:00,0,10.529,7.60
136,2018/08/10,06:30:00,0,10.529,7.60
137,2018/08/10,07:00:00,0,10.529,7.60
138,2018/08/10,07:30:00,0,10.530,7.60
139,2018/08/10,08:00:00,0,10.530,7.60
140,2018/08/10,08:30:00,0,10.530,7.60
141,2018/08/10,09:00:00,0,10.532,7.60
142,2018/08/10,09:30:00,0,10.530,7.60
143,2018/08/10,10:00:00,0,10.529,7.60
144,2018/08/10,10:30:00,0,10.529,7.60
145,2018/08/10,11:00:00,0,10.526,7.60
146,2018/08/10,11:30:00,0,10.524,7.60
147,2018/08/10,12:00:00,0,10.523,7.60
148,2018/08/10,12:30:00,0,10.518,7.60
149,2018/08/10,13:00:00,0,10.515,7.60
150,2018/08/10,13:30:00,0,10.511,7.60
151,2018/08/10,14:00:00,0,10.509,7.60
152,2018/08/10,14:30:00,0,10.506,7.60
153,2018/08/10,15:00:00,0,10.503,7.60
154,2018/08/10,15:30:00,0,10.502,7.70
155,2018/08/10,16:00:00,0,10.502,7.70
156,2018/08/10,16:30:00,0,10.499,7.70
157,2018/08/10,17:00:00,0,10.496,7.70
158,2018/08/10,17:30:00,0,10.494,7.70
159,2018/08/10,18:00:00,0,10.494,7.70
160,2018/08/10,18:30:00,0,10.491,7.70
161,2018/08/10,19:00:00,0,10.491,7.70
162,2018/08/10,19:30:00,0,10.490,7.70
163,2018/08/10,20:00:00,0,10.490,7.70
164,2018/08/10,20:30:00,0,10.491,7.70
165,2018/08/10,21:00:00,0,10.493,7.70
166,2018/08/10,21:30:00,0,10.493,7.70
167,2018/08/10,22:00:00,0,10.494,7.70
168,2018/08/10,22:30:00,0,10.496,7.70
169,2018/08/10,23:00:00,0,10.497,7.70
170,2018/08/10,23:30:00,0,10.497,7.70
171,2018/08/11,00:00:00,0,10.497,7.70
172,2018/08/11,00:30:00,0,10.497,7.70
173,2018/08/11,01:00:00,0,10.499,7.70
174,2018/08/11,01:30:00,0,10.499,7.70
175,2018/08/11,02:00:00,0,10.500,7.70
176,2018/08/11,02:30:00,0,10.500,7.70
177,2018/08/11,03:00:00,0,10.502,7.70
178,2018/08/11,03:30:00,0,10.502,7.70
179,2018/08/11,04:00:00,0,10.500,7.70
180,2018/08/11,04:30:00,0,10.502,7.70
181,2018/08/11,05:00:00,0,10.503,7.70
182,2018/08/11,05:30:00,0,10.505,7.70
183,2018/08/11,06:00:00,0,10.506,7.70
184,2018/08/11,06:30:00,0,10.509,7.70
185,2018/08/11,07:00:00,0,10.511,7.70
186,2018/08/11,07:30:00,0,10.514,7.70
187,2018/08/11,08:00:00,0,10.514,7.70
188,2018/08/11,08:30:00,0,10.517,7.70
189,2018/08/11,09:00:00,0,10.518,7.70
190,2018/08/11,09:30:00,0,10.518,7.70
191,2018/08/11,10:00:00,0,10.520,7.70
192,2018/08/11,10:30:00,0,10.520,7.70
193,2018/08/11,11:00:00,0,10.521,7.70
194,2018/08/11,11:30:00,0,10.520,7.70
195,2018/08/11,12:00:00,0,10.520,7.70
196,2018/08/11,12:30:00,0,10.518,7.70
197,2018/08/11,13:00:00,0,10.514,7.70
198,2018/08/11,13:30:00,0,10.512,7.70
199,2018/08/11,14:00:00,0,10.511,7.70
200,2018/08/11,14:30:00,0,10.509,7.70
201,2018/08/11,15:00:00,0,10.506,7.70
202,2018/08/11,15:30:00,0,10.505,7.70
203,2018/08/11,16:00:00,0,10.502,7.70
204,2018/08/11,16:30:00,0,10.502,7.70
205,2018/08/11,17:00:00,0,10.500,7.70
206,2018/08/11,17:30:00,0,10.497,7.70
207,2018/08/11,18:00:00,0,10.497,7.70
208,2018/08/11,18:30:00,0,10.497,7.70
209,2018/08/11,19:00:00,0,10.497,7.70
210,2018/08/11,19:30:00,0,10.497,7.70
211,2018/08/11,20:00:00,0,10.497,7.70
212,2018/08/11,20:30:00,0,10.499,7.70
213,2018/08/11,21:00:00,0,10.502,7.70
214,2018/08/11,21:30:00,0,10.503,7.70
215,2018/08/11,22:00:00,0,10.505,7.70
216,2018/08/11,22:30:00,0,10.508,7.70
217,2018/08/11,23:00:00,0,10.509,7.70
218,2018/08/11,23:30:00,0,10.512,7.70
219,2018/08/12,00:00:00,0,10.512,7.70
220,2018/08/12,00:30:00,0,10.514,7.70
221,2018/08/12,01:00:00,0,10.514,7.70
222,2018/08/12,01:30:00,0,10.514,7.70
223,2018/08/12,02:00:00,0,10.514,7.70
224,2018/08/12,02:30:00,0,10.514,7.70
225,2018/08/12,03:00:00,0,10.517,7.80
226,2018/08/12,03:30:00,0,10.520,7.80
227,2018/08/12,04:00:00,0,10.520,7.80
228,2018/08/12,04:30:00,0,10.520,7.80
229,2018/08/12,05:00:00,0,10.521,7.80
230,2018/08/12,05:30:00,0,10.521,7.80
231,2018/08/12,06:00:00,0,10.521,7.80
232,2018/08/12,06:30:00,0,10.524,7.80
233,2018/08/12,07:00:00,0,10.526,7.80
234,2018/08/12,07:30:00,0,10.527,7.80
235,2018/08/12,08:00:00,0,10.529,7.80
236,2018/08/12,08:30:00,0,10.527,7.80
237,2018/08/12,09:00:00,0,10.527,7.80
238,2018/08/12,09:30:00,0,10.526,7.80
239,2018/08/12,10:00:00,0,10.524,7.80
240,2018/08/12,10:30:00,0,10.523,7.80
241,2018/08/12,11:00:00,0,10.518,7.80
242,2018/08/12,11:30:00,0,10.515,7.80
243,2018/08/12,12:00:00,0,10.514,7.80
244,2018/08/12,12:30:00,0,10.512,7.80
245,2018/08/12,13:00:00,0,10.508,7.80
246,2018/08/12,13:30:00,0,10.505,7.80
247,2018/08/12,14:00:00,0,10.500,7.80
248,2018/08/12,14:30:00,0,10.496,7.80
249,2018/08/12,15:00:00,0,10.493,7.80
250,2018/08/12,15:30:00,0,10.490,7.80
251,2018/08/12,16:00:00,0,10.487,7.80
252,2018/08/12,16:30:00,0,10.485,7.80
253,2018/08/12,17:00:00,0,10.482,7.80
254,2018/08/12,17:30:00,0,10.481,7.80
255,2018/08/12,18:00:00,0,10.478,7.80
256,2018/08/12,18:30:00,0,10.478,7.80
257,2018/08/12,19:00:00,0,10.478,7.80
258,2018/08/12,19:30:00,0,10.479,7.80
259,2018/08/12,20:00:00,0,10.478,7.80
260,2018/08/12,20:30:00,0,10.478,7.80
261,2018/08/12,21:00:00,0,10.479,7.80
262,2018/08/12,21:30:00,0,10.479,7.80
263,2018/08/12,22:00:00,0,10.481,7.80
264,2018/08/12,22:30:00,0,10.482,7.80
265,2018/08/12,23:00:00,0,10.482,7.80
266,2018/08/12,23:30:00,0,10.481,7.80
267,2018/08/13,00:00:00,0,10.479,7.80
268,2018/08/13,00:30:00,0,10.481,7.80
269,2018/08/13,01:00:00,0,10.479,7.80
270,2018/08/13,01:30:00,0,10.476,7.80
271,2018/08/13,02:00:00,0,10.475,7.80
272,2018/08/13,02:30:00,0,10.473,7.80
273,2018/08/13,03:00:00,0,10.472,7.80
274,2018/08/13,03:30:00,0,10.472,7.80
275,2018/08/13,04:00:00,0,10.472,7.80
276,2018/08/13,04:30:00,0,10.472,7.80
277,2018/08/13,05:00:00,0,10.472,7.80
278,2018/08/13,05:30:00,0,10.472,7.90
279,2018/08/13,06:00:00,0,10.470,7.90
280,2018/08/13,06:30:00,0,10.473,7.90
281,2018/08/13,07:00:00,0,10.473,7.90
282,2018/08/13,07:30:00,0,10.473,7.90
283,2018/08/13,08:00:00,0,10.472,7.90
284,2018/08/13,08:30:00,0,10.473,7.90
285,2018/08/13,09:00:00,0,10.472,7.90
286,2018/08/13,09:30:00,0,10.469,7.90
287,2018/08/13,10:00:00,0,10.464,7.90
288,2018/08/13,10:30:00,0,10.461,7.90
289,2018/08/13,11:00:00,0,10.460,7.90
290,2018/08/13,11:30:00,0,10.455,7.90
291,2018/08/13,12:00:00,0,10.451,7.90
292,2018/08/13,12:30:00,0,10.449,7.90
293,2018/08/13,13:00:00,0,10.446,7.90
294,2018/08/13,13:30:00,0,10.443,7.90
295,2018/08/13,14:00:00,0,10.439,7.90
296,2018/08/13,14:30:00,0,10.436,7.90
297,2018/08/13,15:00:00,0,10.433,7.90
298,2018/08/13,15:30:00,0,10.431,7.90
299,2018/08/13,16:00:00,0,10.428,7.90
300,2018/08/13,16:30:00,0,10.425,7.90
301,2018/08/13,17:00:00,0,10.422,7.90
302,2018/08/13,17:30:00,0,10.422,7.90
303,2018/08/13,18:00:00,0,10.421,7.90
304,2018/08/13,18:30:00,0,10.421,7.90
305,2018/08/13,19:00:00,0,10.421,7.90
306,2018/08/13,19:30:00,0,10.419,7.90
307,2018/08/13,20:00:00,0,10.421,7.90
308,2018/08/13,20:30:00,0,10.419,7.90
309,2018/08/13,21:00:00,0,10.425,7.90
310,2018/08/13,21:30:00,0,10.428,7.90
311,2018/08/13,22:00:00,0,10.428,7.90
312,2018/08/13,22:30:00,0,10.433,7.90
313,2018/08/13,23:00:00,0,10.433,7.90
314,2018/08/13,23:30:00,0,10.436,7.90
315,2018/08/14,00:00:00,0,10.439,7.90
316,2018/08/14,00:30:00,0,10.445,7.90
317,2018/08/14,01:00:00,0,10.448,7.90
318,2018/08/14,01:30:00,0,10.446,7.90
319,2018/08/14,02:00:00,0,10.445,7.90
320,2018/08/14,02:30:00,0,10.442,7.90
321,2018/08/14,03:00:00,0,10.445,7.90
322,2018/08/14,03:30:00,0,10.446,7.90
323,2018/08/14,04:00:00,0,10.445,7.90
324,2018/08/14,04:30:00,0,10.451,7.90
325,2018/08/14,05:00:00,0,10.452,7.90
326,2018/08/14,05:30:00,0,10.449,7.90
