Company,
LICENCE,
Date,2019/08/28
Time,14:04:31
FileName,
Created_by,Version 4.4.0
Instrument_type,LT_EDGE_JR
Model_number,M5
Instrument_state,Stopped
Serial_number,2091494
Battery_level,67
Channel,2
Firmware,3.004
Project_ID,S2
Location,44
Latitude,0.000
Longtitude,0.000
Sample_rate,180000
Sample_mode,0
Event_ch,249
Event_threshold,999999.000000
Schedule,
Start_time,2019/05/01 11:11:13
Stop_time,2018/11/07 15:43:37
Num_log,5718
Identification,LEVEL
Unit,m
Parameters,"OrderedDict([('Offset', OrderedDict([('@Val', '0.000'), ('@Unit', 'm')]))])"
Identification,TEMPERATURE
Unit,°C
Parameters,
LogID,Date,Time,ms,LEVEL,TEMPERATURE
1,2019/05/01,11:11:13,0,9.855,24.60
2,2019/05/01,11:41:13,0,10.298,1.50
3,2019/05/01,12:11:13,0,10.295,1.10
4,2019/05/01,12:41:13,0,10.295,1.00
5,2019/05/01,13:11:13,0,10.296,1.00
6,2019/05/01,13:41:13,0,10.299,1.00
7,2019/05/01,14:11:13,0,10.296,0.90
8,2019/05/01,14:41:13,0,10.298,0.90
9,2019/05/01,15:11:13,0,10.298,0.90
10,2019/05/01,15:41:13,0,10.296,0.90
11,2019/05/01,16:11:13,0,10.298,0.90
12,2019/05/01,16:41:13,0,10.295,0.90
13,2019/05/01,17:11:13,0,10.296,0.90
14,2019/05/01,17:41:13,0,10.293,0.90
15,2019/05/01,18:11:13,0,10.299,0.90
16,2019/05/01,18:41:13,0,10.299,0.90
17,2019/05/01,19:11:13,0,10.301,0.90
18,2019/05/01,19:41:13,0,10.302,0.90
19,2019/05/01,20:11:13,0,10.302,0.90
20,2019/05/01,20:41:13,0,10.302,0.90
21,2019/05/01,21:11:13,0,10.302,0.90
22,2019/05/01,21:41:13,0,10.304,0.90
23,2019/05/01,22:11:13,0,10.304,0.90
24,2019/05/01,22:41:13,0,10.304,0.90
25,2019/05/01,23:11:13,0,10.304,0.90
26,2019/05/01,23:41:13,0,10.302,0.90
27,2019/05/02,00:11:13,0,10.302,0.90
28,2019/05/02,00:41:13,0,10.304,0.90
29,2019/05/02,01:11:13,0,10.302,0.90
30,2019/05/02,01:41:13,0,10.298,0.90
31,2019/05/02,02:11:13,0,10.299,0.90
32,2019/05/02,02:41:13,0,10.296,0.90
33,2019/05/02,03:11:13,0,10.298,0.90
34,2019/05/02,03:41:13,0,10.298,0.90
35,2019/05/02,04:11:13,0,10.298,0.90
36,2019/05/02,04:41:13,0,10.295,0.90
37,2019/05/02,05:11:13,0,10.290,0.90
38,2019/05/02,05:41:13,0,10.293,0.90
39,2019/05/02,06:11:13,0,10.295,0.90
40,2019/05/02,06:41:13,0,10.295,0.90
41,2019/05/02,07:11:13,0,10.295,0.90
42,2019/05/02,07:41:13,0,10.296,0.90
43,2019/05/02,08:11:13,0,10.296,0.90
44,2019/05/02,08:41:13,0,10.296,0.90
45,2019/05/02,09:11:13,0,10.295,0.90
46,2019/05/02,09:41:13,0,10.296,0.90
47,2019/05/02,10:11:13,0,10.298,0.90
48,2019/05/02,10:41:13,0,10.301,0.90
49,2019/05/02,11:11:13,0,10.301,0.90
50,2019/05/02,11:41:13,0,10.304,0.90
51,2019/05/02,12:11:13,0,10.304,0.90
52,2019/05/02,12:41:13,0,10.305,0.90
53,2019/05/02,13:11:13,0,10.305,0.90
54,2019/05/02,13:41:13,0,10.307,0.90
55,2019/05/02,14:11:13,0,10.307,0.90
56,2019/05/02,14:41:13,0,10.307,0.90
57,2019/05/02,15:11:13,0,10.308,0.90
58,2019/05/02,15:41:13,0,10.308,0.90
59,2019/05/02,16:11:13,0,10.307,0.90
60,2019/05/02,16:41:13,0,10.305,0.90
61,2019/05/02,17:11:13,0,10.304,0.90
